instance,method,run,utility,cpu_time
MC-CSSP-L,QIDDM-noDyn,18,0.6796487188900896,3.6398062000007485
MC-CSSP-L,QIDDM-noDyn,19,0.6796487188900896,3.68935269999929
MC-CSSP-L,QIDDM-noInt,0,0.6816408020181992,3.595062099999268
MC-CSSP-L,QIDDM-noInt,1,0.6779425442089453,3.49759129999984
MC-CSSP-L,QIDDM-noInt,2,0.6872161948505614,3.5495470999994723
MC-CSSP-L,QIDDM-noInt,3,0.6796487188900896,3.522094100000686
MC-CSSP-L,QIDDM-noInt,4,0.6779425442089453,3.6583910999997897
MC-CSSP-L,QIDDM-noInt,5,0.6779425442089453,3.7524183000004996
MC-CSSP-L,QIDDM-noInt,6,0.6871413663308567,3.638177699998778
MC-CSSP-L,QIDDM-noInt,7,0.691116005306757,3.633466799999951
MC-CSSP-L,QIDDM-noInt,8,0.6868967728590348,3.660075300000244
MC-CSSP-L,QIDDM-noInt,9,0.6796487188900896,3.6543046000006143
MC-CSSP-L,QIDDM-noInt,10,0.6779425442089453,3.7280387000009796
MC-CSSP-L,QIDDM-noInt,11,0.6779425442089453,3.5641591000003245
MC-CSSP-L,QIDDM-noInt,12,0.6796487188900896,3.7210476999989623
MC-CSSP-L,QIDDM-noInt,13,0.6931172417932414,3.531842999998844
MC-CSSP-L,QIDDM-noInt,14,0.6779425442089453,3.5578194000008807
MC-CSSP-L,QIDDM-noInt,15,0.6771502468161145,3.5654914999995526
MC-CSSP-L,QIDDM-noInt,16,0.6779425442089453,3.6125965000010183
MC-CSSP-L,QIDDM-noInt,17,0.6779425442089453,3.6154793000005157
MC-CSSP-L,QIDDM-noInt,18,0.6874381562839438,3.3054757000008976
MC-CSSP-L,QIDDM-noInt,19,0.6806645678602908,3.5863520999992033
MC-CSSP-L,QIDDM-noLS,0,0.666807820785914,3.3206556999994064
MC-CSSP-L,QIDDM-noLS,1,0.6682284122497297,3.2984455000005255
MC-CSSP-L,QIDDM-noLS,2,0.6588947192362656,3.304424600000857
MC-CSSP-L,QIDDM-noLS,3,0.6660362536244747,3.375570299998799
MC-CSSP-L,QIDDM-noLS,4,0.6596630988549027,3.4324871999997413
MC-CSSP-L,QIDDM-noLS,5,0.6657586627302262,3.354585799999768
MC-CSSP-L,QIDDM-noLS,6,0.6578043385326492,3.3808487999995123
MC-CSSP-L,QIDDM-noLS,7,0.6586465897197429,3.520053400001416
MC-CSSP-L,QIDDM-noLS,8,0.6686883348353965,3.3708244000008563
MC-CSSP-L,QIDDM-noLS,9,0.6707949542932825,3.2433234000000084
MC-CSSP-L,QIDDM-noLS,10,0.6603434499183152,3.336457100000189
MC-CSSP-L,QIDDM-noLS,11,0.661198039740741,3.3256026999988535
MC-CSSP-L,QIDDM-noLS,12,0.6682072279913231,3.259992199999033
MC-CSSP-L,QIDDM-noLS,13,0.6758449736652353,3.125148799999806
MC-CSSP-L,QIDDM-noLS,14,0.6630061811240542,3.1696529000000737
MC-CSSP-L,QIDDM-noLS,15,0.6647569797579764,3.2442528999999922
MC-CSSP-L,QIDDM-noLS,16,0.6658477185965156,3.320037299999967
MC-CSSP-L,QIDDM-noLS,17,0.6560284652843683,3.233579699999609
MC-CSSP-L,QIDDM-noLS,18,0.6654003796414196,3.308447100000194
MC-CSSP-L,QIDDM-noLS,19,0.6544381965306859,3.18891369999983
MC-CSSP-L,QIDDM-noWarm,0,0.6796487188900896,3.6048969000003126
MC-CSSP-L,QIDDM-noWarm,1,0.6771502468161145,3.437490099999195
MC-CSSP-L,QIDDM-noWarm,2,0.6779425442089453,3.534458000000086
MC-CSSP-L,QIDDM-noWarm,3,0.6779425442089453,3.607125399999859
MC-CSSP-L,QIDDM-noWarm,4,0.6779425442089453,3.634964500000933
MC-CSSP-L,QIDDM-noWarm,5,0.6796487188900896,3.544871799998873
MC-CSSP-L,QIDDM-noWarm,6,0.6779425442089453,3.5386400999996113
MC-CSSP-L,QIDDM-noWarm,7,0.6779425442089453,3.4864355999998224
MC-CSSP-L,QIDDM-noWarm,8,0.6779425442089453,3.6206817000002047
MC-CSSP-L,QIDDM-noWarm,9,0.6779425442089453,3.5698016000005737
MC-CSSP-L,QIDDM-noWarm,10,0.6886484324008264,3.4475843999989593
MC-CSSP-L,QIDDM-noWarm,11,0.6779425442089453,3.5576880000007804
MC-CSSP-L,QIDDM-noWarm,12,0.6828844190938852,3.4699627999998484
MC-CSSP-L,QIDDM-noWarm,13,0.6779425442089453,3.5461278000002494
MC-CSSP-L,QIDDM-noWarm,14,0.6779425442089453,3.519720899999811
MC-CSSP-L,QIDDM-noWarm,15,0.6796487188900896,3.6357676000006904
MC-CSSP-L,QIDDM-noWarm,16,0.6779425442089453,3.4625832000001537
MC-CSSP-L,QIDDM-noWarm,17,0.6771502468161145,3.6432942999999796
MC-CSSP-L,QIDDM-noWarm,18,0.6779425442089453,3.5785930000001827
MC-CSSP-L,QIDDM-noWarm,19,0.6779425442089453,3.527145699999892
